target,1rank,2rank,3rank,4rank,5rank,6rank,7rank
1090,2638,1090,1186,281,250,947,1115
1089,1089,1431,752,1135,2223,867,1275
1094,1094,79,2206,1115,992,2466,260
1095,1592,2548,619,1507,1193,1692,1092
1362,1362,1832,694,2416,1817,227,1577
730,730,2600,1036,1522,803,984,2263
729,729,784,2690,793,1277,1987,796
2452,2452,1184,1929,15,436,1864,2619
72,1811,72,378,995,2303,2408,1675
513,513,708,2503,669,419,370,1980
511,511,2626,919,1590,1781,1105,980
2685,2685,2105,970,646,1217,1518,1986
512,512,1563,2172,1417,402,2089,2564
1023,1023,495,1133,280,332,2339,1784
2286,2508,2286,1775,886,362,1252,1900
1823,1034,1823,2535,122,2329,1468,2492
1434,1434,1783,1157,1891,2668,2308,893
0,0,776,1729,97,40,1256,890
1,8,1578,2440,345,1,2201,1814
3,3,2324,519,1040,2400,2049,1332
2,1750,257,638,1828,2,47,1233
2254,1004,2254,2101,79,2206,2466,1215
2255,551,2255,2427,1963,1535,1848,1879
2256,757,2256,1583,491,1584,2257,1874
1758,466,1758,189,2687,2589,759,134
2257,757,2256,1583,491,1584,2257,1874
2258,2258,578,2707,1028,1948,1446,988
617,617,2266,1448,42,335,2609,676
255,255,140,1949,603,825,1506,226
87,87,1116,2532,1709,672,944,635
88,967,981,75,130,88,753,2336
1279,1279,2729,580,2124,401,704,171
2691,1008,2691,2526,999,2423,2705,2195
776,890,776,454,132,1303,2621,1975
1932,1932,684,328,823,1279,2304,723
1933,1933,1220,1804,423,271,1680,1542
1189,1189,912,1773,347,2658,1929,220
631,1219,741,1165,631,1973,2618,2416
632,1016,632,2692,876,2372,1698,213
2035,2035,563,2023,2103,1407,1041,2249
905,1652,905,1860,1054,2453,1606,1375
1775,2508,2286,1775,886,362,1252,1900
1973,1219,741,1165,631,1973,2618,2416
2103,2103,1407,1880,146,1176,2160,1615
2175,2175,2593,1628,1863,802,380,371
1992,163,1010,1321,2411,2493,571,408
2176,163,1010,1321,2411,2493,571,408
113,2387,113,2286,1305,518,2129,2220
579,579,2670,2509,1258,768,436,1087
568,568,1878,1870,944,249,174,2658
2427,2427,1208,2322,188,1042,551,230
2342,2342,1360,399,1952,348,1550,1340
725,725,1694,2594,1172,1148,1479,1174
2131,1654,507,1923,2131,1991,1789,1876
2492,504,1468,496,2492,2315,1560,939
315,974,315,1516,304,418,218,1517
2274,1042,1208,1633,2274,188,2322,2276
657,657,1458,783,1175,10,1743,2005
1990,1990,573,2066,2511,1768,280,1248
832,832,559,99,1855,1602,276,498
1988,1988,1952,1761,2240,1550,348,2342
1463,337,149,2182,539,1638,1744,1463
796,796,357,1730,1688,683,1792,1067
1579,1579,1280,2037,2654,2259,141,1603
2604,2604,427,860,588,546,2065,585
2603,1750,257,638,1828,2,47,1233
216,216,2680,1910,1784,529,2273,2513
1911,1911,500,692,1049,2111,2320,2253
649,649,1642,2251,1486,1295,1823,753
1745,2325,2448,910,2406,1686,1745,1266
1954,1954,2545,833,2232,1580,2642,2159
2658,2658,316,1870,497,1189,1773,108
78,164,78,63,1942,2049,212,1376
79,79,2206,465,985,303,2101,37
415,415,625,2327,2290,207,527,1747
1163,1163,2670,321,716,2273,1258,2686
2525,2525,235,1619,556,2682,1891,2047
2209,2209,506,1669,1129,1622,2261,1498
80,80,1837,264,16,481,1559,7
235,235,2525,529,1218,964,2114,2096
2592,238,1998,1289,1696,2592,2674,717
2593,2175,2593,1628,1863,802,380,371
1713,1713,2275,953,274,1607,1772,639
1043,576,127,1043,271,423,137,2230
223,2517,1216,223,122,1653,2280,99
604,604,2641,129,2208,2571,1968,1084
829,829,2547,402,2093,2513,363,1191
830,830,999,384,1381,2613,2367,2306
831,2278,831,1569,1618,2657,1059,1135
573,1990,573,2066,2511,1768,280,1248
476,476,483,421,2649,91,1423,1251
605,605,2074,655,82,2204,125,77
1042,1042,1208,1633,2274,188,2322,2276
207,207,1093,1311,2007,1747,415,2327
677,677,1959,1126,1057,451,1971,649
1041,1041,2475,2510,2006,2696,632,1812
2369,2369,2153,32,789,1838,1515,624
996,163,1010,1321,2411,2493,571,408
1264,1367,1391,1925,1264,2402,2218,318
2226,2226,600,1360,2346,1101,1260,1350
2660,2660,2311,1249,2328,2553,1909,570
2269,2269,400,1074,1351,919,2667,2215
1635,313,1635,2524,703,1301,1433,394
1084,1084,301,1455,839,1892,781,1566
1510,163,1010,1321,2411,2493,571,408
158,493,158,1994,2495,724,1235,1135
2523,2724,2523,1569,2472,1135,1672,1235
1068,1068,1891,2640,1139,1067,893,1054
1698,1698,15,1929,392,1016,1609,295
1067,1067,796,1068,1808,1139,2640,1891
1157,1157,1783,986,1434,715,500,1231
1104,1104,1273,2170,403,1201,2449,1421
2334,2334,18,748,2296,1193,1507,619
1756,1756,156,109,1355,2222,1196,1299
2565,492,1321,2144,1915,2584,373,1896
726,726,2348,297,33,1212,1232,2079
64,64,17,657,520,799,1184,2213
66,29,66,962,2174,1859,485,1153
538,538,710,732,748,2685,680,2580
65,65,2293,435,1842,2033,1725,306
1373,1373,1085,1570,780,2644,1413,939
1083,1083,2068,2710,2225,2421,1447,252
477,865,477,2688,1364,1865,1849,1986
2690,2690,1737,209,729,2722,565,2191
846,1750,257,638,1828,2,47,1233
1444,1444,2189,434,1780,2067,1803,1255
1610,492,1321,2144,1915,2584,373,1896
1609,295,1609,1475,1698,2686,98,1929
586,1044,1893,586,1483,2330,646,1099
1059,2657,1059,1016,2113,632,2475,818
1503,1503,228,1496,389,1967,946,1376
1502,1502,1620,1469,1621,1406,525,1415
1667,2169,1667,247,1836,128,871,1273
1105,2626,1105,1086,186,888,977,2243
1106,1106,31,1601,1045,2381,849,701
441,934,441,1670,837,2178,1156,692
1980,1980,419,612,525,1867,1997,2009
2029,2029,145,2619,1316,237,2650,547
219,258,219,650,899,992,260,1148
1447,1447,2068,81,2372,876,432,2375
2707,2258,578,2707,1028,1948,1446,988
1446,1028,988,1446,1213,1948,1532,658
1506,1506,1843,2429,1274,1382,1132,467
1507,1592,2548,619,1507,1193,1692,1092
807,807,1326,1899,885,170,1185,2044
2067,2067,1943,1972,548,1444,2189,1826
1318,1318,2701,251,2057,1694,2698,1111
1175,1175,552,610,10,783,657,613
1594,1594,2289,1940,1966,1732,1302,2195
1668,800,1333,1284,1668,177,1560,32
2626,2626,1105,1086,186,888,977,2243
1881,1881,446,621,307,1877,2713,2213
2627,705,2627,823,2731,822,2525,1357
2301,2301,2386,922,2583,1536,906,2483
2338,2338,1105,2626,1177,2157,1827,977
1741,1741,232,1791,1015,716,2209,704
405,405,2317,901,966,1652,1193,1692
2467,2467,528,55,771,1226,4,1608
2120,2120,1315,157,2559,452,2630,1938
2664,2664,1024,1626,1547,1382,199,936
1822,1822,131,166,644,1182,1243,1307
1429,201,1429,2306,1576,2544,2620,1885
1697,1697,251,2057,771,1172,2121,1174
2464,2464,301,554,220,2157,1102,1881
1719,1719,262,1347,16,692,2156,1049
1394,738,733,1394,562,2091,1486,1398
1729,1729,1660,2368,2629,302,530,1018
2415,2536,2415,2659,1920,322,1130,175
231,231,54,762,2091,1003,1100,546
1126,1959,1126,1529,677,2205,1971,1854
2312,2312,324,1572,1288,596,1121,2461
808,740,111,808,669,1185,1512,2634
457,163,1010,1321,2411,2493,571,408
858,858,1082,110,1884,358,598,1544
1401,1401,1617,1049,692,2068,2532,1222
2729,2729,1279,401,2124,580,2545,706
2652,2652,2643,687,178,2661,2639,407
1969,1969,2195,2705,1015,1875,1381,937
1149,1149,1767,2505,588,1187,2259,1190
1487,1487,206,2261,1063,844,2287,1658
1378,2244,1378,1508,1948,1213,1532,1730
1258,1258,436,2670,1698,768,1735,2658
1864,1864,27,1024,2452,2664,1613,660
1559,1559,347,1189,1944,402,1170,1031
2026,2026,2108,739,161,1664,860,22
616,2398,2647,1683,616,873,1655,2371
2583,2583,2608,467,1958,330,707,2713
1237,1237,884,2711,755,945,1754,1081
2510,1812,2510,316,497,2721,213,938
1491,1491,2394,2367,2404,1063,206,2730
1282,1282,2716,2000,1938,2120,30,810
2250,2250,190,1081,2523,2724,27,2372
2670,2670,1258,768,436,392,1163,2509
942,163,1010,1321,2411,2493,571,408
1099,1099,2718,2298,2695,2330,75,130
129,129,1248,1191,2460,2208,604,1125
128,128,1667,2169,12,2118,247,1836
1017,1017,2641,1968,2119,1916,1348,911
1613,1613,2480,15,1543,145,190,2414
2439,2439,920,2455,1256,193,1658,2045
332,1133,2339,332,310,1069,1023,675
2416,2416,1577,444,691,263,1362,631
2504,2504,1706,1021,2465,1452,1178,1751
1066,1066,1898,1037,67,1575,1051,272
2485,2310,2485,331,642,1973,631,389
691,691,1577,1402,2416,227,1939,264
2656,2656,2628,557,135,138,530,136
2373,2373,1234,1482,633,2187,228,881
2649,2649,91,645,549,104,658,2645
603,603,1596,2420,659,281,947,1093
853,853,1784,1769,986,2126,1951,495
709,709,2104,1079,1455,781,737,192
1956,1956,2126,866,532,853,2649,2181
1661,1661,503,569,1088,375,2003,1321
186,888,186,2422,2694,1684,1105,2626
871,871,2255,2169,551,1667,1975,2687
2447,2447,172,1826,1545,2709,2417,787
140,140,1571,771,608,2193,2664,255
2101,1004,2254,2101,79,2206,2466,1215
105,105,261,2500,912,221,610,2166
289,289,2456,1345,742,1012,20,2095
1965,1493,1965,2585,1479,857,1711,2117
919,919,511,1087,1764,184,1243,1105
2299,239,2299,856,758,171,983,305
2219,1787,2219,2194,406,2425,1947,2706
1739,238,1998,1289,1696,2592,2674,717
2454,2454,816,509,957,74,533,2580
2158,2158,143,2305,2563,2660,352,1098
288,288,1970,2015,598,312,85,31
192,192,2459,709,2233,2152,911,714
1512,1512,612,1997,1867,803,808,817
185,185,2415,2536,917,1141,1927,1130
1314,1314,31,81,1452,1031,85,2017
2333,2333,1393,2318,1618,941,1275,1135
548,1943,548,653,1780,1255,434,2067
1649,1649,512,1563,1317,2172,2268,1867
248,248,355,1400,2417,856,2447,722
222,222,1531,818,1630,1637,913,384
1809,1996,1809,213,2721,1353,167,1777
2651,2651,2617,1620,1269,1063,1791,206
626,626,1770,949,1214,2343,1047,483
2572,492,1321,2144,1915,2584,373,1896
2573,1354,2573,952,2341,2016,956,234
992,260,992,1090,277,2638,37,908
2212,2277,2212,640,2097,1324,1118,2203
2527,2527,1436,1348,1457,1449,983,1212
1595,1595,1242,1450,2598,817,505,1912
1165,1219,741,1165,631,1973,2618,2416
418,418,974,1516,2019,315,2683,595
2536,2536,2415,2659,1920,322,1130,175
1298,1298,205,229,567,1414,1370,1073
1299,1355,1299,109,1196,403,335,2053
2200,163,1010,1321,2411,2493,571,408
2198,163,1010,1321,2411,2493,571,408
2199,2199,1574,595,112,312,2542,2089
1972,1972,2067,548,1943,2189,1826,1444
2605,2605,1243,1490,517,204,391,2528
1241,1241,2287,2045,2706,1634,1482,1014
1326,1326,2044,807,132,459,941,2021
2630,2630,452,266,1132,1806,1238,199
212,212,2494,752,1715,2071,164,1942
1520,1520,2050,1080,2463,2694,1703,2348
1521,1521,834,336,1079,2104,2079,1801
1522,1522,2132,326,1287,1036,1920,1805
1021,1021,2504,2362,397,694,475,2134
2391,2391,301,1582,2471,2564,1455,2331
2081,2081,1863,1321,1896,2003,1610,569
279,279,2005,333,608,547,1046,695
1577,2416,1577,444,691,263,1362,631
1528,1528,561,2070,60,329,1568,55
2046,2046,1393,986,1632,1695,1060,1618
278,238,1998,1289,1696,2592,2674,717
54,54,762,546,525,1551,1100,1676
2036,966,2036,1781,980,2317,6,864
1245,1245,388,2554,1230,571,1883,2256
48,48,1423,325,1983,282,984,775
62,62,564,2728,1567,804,155,1752
2546,2546,357,1525,427,2650,326,620
13,13,1486,1865,1849,2622,1278,806
1552,1552,84,674,629,2130,575,1700
1553,362,1553,886,1250,688,118,84
1256,1256,40,0,1784,2455,1349,2706
1712,2060,1712,2160,2501,1615,1176,2639
2610,2610,734,1417,1026,2058,151,445
679,1976,2038,699,679,1873,365,1332
2502,2502,2712,2568,5,1587,2382,1820
2228,2228,2329,2026,2108,80,422,498
2503,2503,1407,2103,1710,2009,513,499
2330,1044,1893,586,1483,2330,646,1099
552,552,613,610,2213,10,1175,226
2616,163,1010,1321,2411,2493,571,408
2327,2327,527,1311,415,383,1238,2290
271,271,1933,1107,488,2031,1654,1061
2328,2553,2328,1249,1320,2305,2660,1869
2329,2329,99,2228,1577,1402,498,524
659,659,281,1949,603,2540,2638,1090
859,531,859,61,2281,2495,974,2242
2596,2596,2361,2648,1395,1824,2636,1051
254,254,1693,978,1581,1588,2732,1960
2549,2549,412,1387,1901,2455,2059,2196
1483,1044,1893,586,1483,2330,646,1099
748,748,1217,1518,2334,18,538,2587
1470,1470,896,1731,1197,5,1778,506
1260,1101,1260,2226,233,2571,1871,461
199,199,266,452,2630,1626,810,1799
2386,2386,2301,931,2483,1274,2128,548
878,878,2307,1274,731,548,121,1943
1660,1729,1660,2368,2629,302,530,1018
92,92,1111,2698,2064,2121,1318,303
2134,408,2134,2574,1720,801,1558,74
1127,1127,1384,1136,593,32,709,2566
1128,1128,82,1473,2366,1368,288,275
1129,1129,1892,108,2279,1543,301,805
1130,1130,1546,1533,2442,1368,1776,1659
1191,1191,2084,595,814,1931,1905,2692
68,68,1297,923,1307,1885,103,999
230,1042,1208,1633,2274,188,2322,2276
111,740,111,808,669,1185,1512,2634
1364,1364,865,2688,477,505,723,1820
214,214,1270,33,1232,726,2672,2056
1817,1817,444,103,1362,1832,1297,201
439,439,818,384,856,222,1059,2657
2462,2462,1009,1539,2287,2477,2095,1202
2130,2130,365,699,679,1650,2340,464
2456,289,2456,1345,742,1012,20,2095
2242,1473,2242,2190,2366,2110,2089,1387
100,100,2716,625,2314,2677,2638,1090
169,169,668,803,1235,1509,1680,2724
2594,2594,2540,1826,277,37,2067,1596
2027,2027,338,1723,535,1429,909,2578
847,847,1504,2086,2635,2226,2672,790
270,163,1010,1321,2411,2493,571,408
73,73,1161,1255,434,1780,119,446
561,561,1736,770,1568,2480,1001,2122
269,915,1825,96,241,487,690,269
2600,730,2600,1036,1522,803,984,2263
1471,1838,309,1964,1471,1273,1128,993
297,297,1212,2079,726,1306,1842,2033
296,2433,1987,296,793,693,2039,2014
1320,1320,1869,1456,570,1249,2328,1909
1917,1917,2055,766,698,1392,683,2214
32,2369,2153,32,789,1838,1515,624
295,295,1609,1475,1698,2686,98,1929
1862,965,2184,1405,1862,849,2532,801
1069,1069,1133,788,332,1640,2339,259
2287,2287,1241,1487,2261,2045,2706,1634
1148,1148,219,258,281,2594,1460,892
2475,2475,384,2657,1059,1041,1754,2696
2474,2474,355,1711,2117,2662,2417,2490
2477,2477,864,2462,1972,1786,633,1453
2473,2473,1721,1274,714,210,731,34
184,1764,184,1498,2277,2212,1265,946
2472,1672,2472,2523,2724,1492,178,647
2476,2476,1409,653,2331,369,1506,1530
2696,2696,1353,213,1313,167,2721,1809
2490,2490,1481,2474,1226,2715,594,517
218,218,2238,315,1516,1604,974,2495
1026,2058,1026,2372,876,2365,2375,1777
1768,1768,154,2084,2518,595,598,998
1877,1877,2713,2608,467,1547,621,446
636,636,93,1935,243,1250,118,36
370,370,217,471,708,513,1210,885
914,163,1010,1321,2411,2493,571,408
6,6,980,966,2358,2036,2243,511
913,913,1637,1968,1059,222,2119,2657
1205,1205,2124,1352,2644,736,2364,1985
1805,1134,1805,1112,1880,2132,310,961
1994,1994,493,158,1235,752,724,2495
1200,1200,2357,2625,106,1055,913,31
1959,1959,1126,1529,677,2205,1971,1854
2697,1600,2697,1941,1254,1668,1790,1333
1772,1772,841,1587,2382,397,1408,498
1604,1604,218,1212,1725,160,1842,2033
2203,2203,2624,2277,2564,1251,2471,2212
2206,79,2206,465,985,303,2101,37
900,900,781,2231,2279,1225,2073,301
1934,1934,1797,575,2295,1466,294,1873
2438,2438,1544,418,603,2151,605,655
1144,1144,76,1044,1893,586,2330,1483
1274,1274,2378,714,548,878,121,731
1052,1052,2053,2699,719,1360,2576,1106
2110,1473,2242,2190,2366,2110,2089,1387
2361,2596,2361,2648,1395,1824,2636,1051
161,161,2570,1664,390,1839,739,860
1747,1747,467,608,799,1093,1311,207
860,860,2604,161,427,1178,2026,498
2478,2478,478,1957,2523,2501,407,2724
1710,1710,1888,71,987,2503,2375,56
1601,1045,701,1601,2381,849,167,2460
1504,1504,2672,847,687,727,474,1900
1492,1492,178,1561,1569,884,945,2009
736,736,2560,1205,1297,1659,2731,68
876,876,2372,1026,1388,1116,1777,632
1030,2136,1030,1388,1777,876,2372,259
578,2258,578,2707,1028,1948,1446,988
2376,2376,968,881,763,2313,1791,1707
840,840,2387,113,2410,2100,615,1994
696,696,1150,278,238,1696,1998,1903
2294,2294,957,2432,1239,1552,1957,103
698,698,1392,403,762,54,1917,1588
1186,250,1186,1464,2292,2540,2445,2677
1187,1187,774,19,2116,1810,1295,2251
567,567,205,1336,1081,229,1298,1188
1022,1022,77,210,2002,747,2074,322
1303,454,1303,2621,561,2455,673,1836
2152,2152,192,1717,2459,2319,1222,1272
2146,2146,1020,1186,1117,1571,1464,250
2148,2148,2636,2655,1120,1197,834,1270
2147,2147,1109,2698,771,1111,1786,1172
697,697,629,478,2294,1552,103,1957
1592,1592,2548,619,1507,1193,1692,1092
226,226,467,613,1132,1806,2585,1547
1464,250,1186,1464,2292,2540,2445,2677
1453,1453,2363,11,1803,922,1274,1972
1132,1132,1843,2630,452,226,1547,467
2705,2195,2705,592,1940,991,2344,999
1996,1996,1809,213,2721,1353,167,1777
1112,1134,1805,1112,1880,2132,310,961
194,194,480,927,1215,2265,2662,2117
2070,2070,60,1275,1528,400,2215,2467
856,856,2299,239,248,2391,439,1385
210,210,714,527,1093,1311,731,875
2318,2318,1618,1135,1393,1032,2333,2113
2609,2609,1023,495,191,1894,778,1133
2279,2279,781,815,644,2231,805,1081
1628,1628,21,1403,557,916,1914,1234
1081,1081,635,1393,1705,2279,1465,2250
2589,2687,1975,200,2589,14,673,669
318,318,2402,828,2586,2051,1704,1925
1064,1064,2377,461,1125,2511,1617,2154
1158,2426,1158,401,2496,580,1044,2462
195,1305,195,1138,300,1056,499,1679
2365,2365,2058,1026,1417,1388,1777,112
2364,2364,1352,481,779,215,1205,1824
2366,1473,2242,2190,2366,2110,2089,1387
261,261,2595,105,1184,1938,2591,2378
782,782,1430,714,1311,2437,1843,2166
986,986,853,1783,1157,1769,1784,2046
2114,2114,235,976,458,2700,2075,1669
1856,1856,1440,163,1411,2254,2090,2101
1840,1840,2075,900,1222,1485,1622,2253
1958,1958,2513,2583,2010,467,1582,410
997,997,2709,722,315,543,2238,2021
2381,1045,701,1601,2381,849,167,2460
187,187,2418,2184,965,1405,1862,2344
2383,2072,2383,372,1921,2076,324,1123
2382,2382,1293,16,1772,1366,841,2156
713,713,2514,1766,2432,1351,2215,545
1815,2681,1815,1010,1576,941,425,1135
1937,1937,1851,2435,599,1373,671,1085
276,276,259,174,249,2601,2020,752
334,2412,879,334,984,775,2263,836
2300,2300,2453,2466,1738,1311,210,527
1816,1816,2062,2180,1548,982,1621,1312
1773,1773,912,2231,2658,1189,1777,220
2319,2319,2459,1222,1641,975,2421,192
1771,2399,1887,1002,1771,628,488,487
968,968,2376,1707,2186,2070,60,2571
2509,2509,1135,1087,2463,818,2670,2724
2155,2155,1450,2598,791,1424,279,2017
550,1342,2207,489,1480,1648,2529,550
2265,2265,194,560,480,1215,2253,927
756,163,1010,1321,2411,2493,571,408
1851,1851,1273,871,1937,780,2315,939
1883,571,388,1230,1883,2554,2286,1775
2216,2216,135,1322,1150,1737,2323,1425
1288,1121,1288,342,1448,1947,676,558
70,70,938,2159,171,2510,1812,618
2218,2218,1035,590,1515,283,2587,1945
943,943,1413,2321,2430,827,1570,1162
1921,1921,1920,2503,19,2072,2116,955
2230,137,2230,39,2247,602,21,1539
1244,1244,1236,617,236,2632,2646,956
2442,1533,2442,1368,275,2002,913,1478
1916,1916,2641,913,1637,1050,1308,1968
648,163,1010,1321,2411,2493,571,408
28,2083,28,2354,1902,1614,2666,948
1232,1232,1497,726,214,1778,2302,2167
1292,1292,475,1607,1207,177,1765,274
613,613,552,2213,10,226,1132,1806
2307,2307,878,1938,1843,1708,414,1861
1811,1811,72,378,995,2303,2408,1675
572,572,2723,1312,425,1816,285,945
1207,1207,917,2671,1292,1927,1141,726
614,614,2117,2662,1711,30,787,2599
2465,2465,1637,913,2504,2362,1698,222
615,615,536,840,518,195,1305,1703
2710,2710,1142,1546,2115,1083,2066,1627
2320,2320,2601,106,2357,1200,1055,2625
1930,836,2699,1930,1091,719,880,849
1869,1869,1597,1320,1808,1456,1990,573
2717,2717,131,205,1298,229,567,1899
2703,298,1821,2703,1328,165,1205,350
673,1836,673,2366,2190,612,454,867
1910,1910,1866,216,2680,2040,1372,1474
2326,2326,1411,1513,1078,2090,196,783
680,680,1170,384,1118,1324,1356,16
2191,1252,2191,1123,2503,420,1250,1935
837,934,441,1670,837,2178,1156,692
2341,1354,2573,952,2341,2016,956,234
396,163,1010,1321,2411,2493,571,408
2620,1576,425,2620,2306,2544,2112,1700
399,399,1469,1323,1417,151,734,1251
2262,2262,195,2050,2102,2246,1305,2056
1672,1672,2472,2523,2724,1492,178,647
1479,1479,284,1493,1965,2417,2585,2474
2394,1491,2394,2367,2404,1063,206,2730
2628,2628,2656,45,1474,1645,135,557
780,780,939,2315,1975,1838,14,263
213,1996,1809,213,2721,1353,167,1777
749,749,1899,1732,166,170,2136,2611
1466,1466,2261,1934,575,2295,294,1202
1146,1146,1074,1391,1367,1925,510,1264
2288,2288,790,537,337,539,2182,1638
1701,1701,2048,1308,1130,1050,2710,975
740,740,111,808,669,1185,1512,2634
2403,665,176,2403,1974,2360,1527,382
189,466,1758,189,2687,2589,759,134
423,423,2512,1933,350,1012,1345,742
452,2630,452,266,1132,1806,1238,199
1048,1048,1984,1673,2187,991,2679,2530
2535,1034,1823,2535,122,2329,1468,2492
2569,2569,1319,2644,2050,1681,1567,155
1070,1070,1505,356,1973,741,2618,1219
1242,1242,2151,760,1595,588,203,1728
302,2629,530,1690,2506,702,136,1018
1587,1587,1314,1772,841,1031,2502,31
2045,2045,2493,1703,920,1241,759,1487
2560,2560,736,2050,693,1681,2270,1872
1615,2160,1615,1176,56,1569,1576,425
244,244,416,316,497,982,1183,2159
2060,2060,1712,2160,2501,1615,1176,2639
1633,1042,1208,1633,2274,188,2322,2276
1096,163,1010,1321,2411,2493,571,408
798,2390,798,959,2013,2586,1167,2051
792,792,252,1016,632,1344,1031,2724
2544,1576,425,2620,2306,2544,2112,1700
372,2072,2383,372,1921,2076,324,1123
857,857,467,2585,1430,1877,2713,1843
1529,1529,1959,1126,2678,26,1971,542
1557,1557,2138,1160,673,1836,2062,982
2305,2305,2328,1249,2553,2158,1605,1320
1707,1707,1995,968,704,1010,2332,108
456,2727,2030,1259,1290,1194,1266,456
714,714,1430,2378,1274,782,210,875
1769,1769,1951,853,595,326,1784,2455
906,906,611,1536,2301,1073,1337,1161
907,907,541,815,1501,2020,644,1317
514,514,170,1203,1795,1208,1885,1633
2159,2159,171,70,497,316,1563,512
1171,1143,2202,1171,1573,149,1818,442
1342,1342,2207,489,1480,1648,2529,550
124,163,1010,1321,2411,2493,571,408
2678,26,2678,137,717,1289,39,2247
704,704,2232,2332,2642,217,2095,471
1331,1750,257,638,1828,2,47,1233
530,2629,530,1690,2506,702,136,1018
1787,1787,2219,2194,406,2425,1947,2706
699,1976,2038,699,679,1873,365,1332
2346,2346,1550,2226,2571,938,640,233
920,920,1833,2045,1154,482,1658,1014
1004,1004,2254,2101,79,2206,2466,1215
2167,2167,700,1263,306,341,65,1672
1419,1419,1873,2038,1976,1332,1329,365
717,238,1998,1289,1696,2592,2674,717
2659,2659,2711,2442,1533,884,1368,945
459,459,561,2122,1736,1568,770,2480
461,461,1125,1248,1349,2377,964,129
2289,2289,1732,1594,788,1640,490,320
173,173,1621,1317,805,1543,1531,232
172,172,787,974,2447,1516,315,548
167,1996,1809,213,2721,1353,167,1777
165,298,1821,2703,1328,165,1205,350
2646,2646,902,1639,617,1619,2389,2439
901,901,258,219,405,1011,1738,1148
891,891,828,1074,1709,1982,1623,957
159,159,2293,620,435,1820,1306,1641
1733,1342,2207,489,1480,1648,2529,550
833,833,1954,1580,2545,749,808,1370
149,337,149,2182,539,1638,1744,1463
1388,1388,1777,876,259,2372,213,2721
1384,1384,1127,593,651,2022,662,2075
1156,934,441,1670,837,2178,1156,692
1028,1028,988,1446,1213,1948,1532,658
2135,2135,2557,594,2189,985,303,1444
1968,2119,1968,2641,1637,913,747,700
1088,1088,1581,1693,254,978,1339,2449
2137,2137,316,1870,497,1892,1324,640
364,2083,28,2354,1902,1614,2666,948
468,468,618,2015,2197,49,2087,98
2635,2086,2635,847,2218,2369,265,969
1854,1854,1971,1019,1914,2237,2023,916
689,689,2644,2545,1415,2095,123,706
2278,2278,831,1569,1618,2657,1059,1135
348,348,2551,2365,2699,836,1930,1091
10,10,613,610,552,2213,2437,783
671,671,682,1937,1227,163,1851,1104
2410,2410,1585,1340,2100,2286,840,2508
2041,2041,820,738,733,1642,1534,1829
609,609,1077,2297,893,2541,1339,2588
1488,1488,2478,534,823,2421,2225,1357
52,52,1931,233,2460,2571,1890,2208
2096,2096,181,153,2194,1901,1498,1218
